"Created-At";"Text";"Id"
2022-11-18;"Pj Gubernur DKI Jakarta Musnahkan 14.447 Botol Miras Ilegal
@DKIJakarta @SatpolPP_DKI @TMCPoldaMetro 
#parboaboa #mirasoplosan #PjGubernurDKI #herubudihartono #satpolpp #poldametrojaya #vodka #anggur #orangtua #Rajawali #pemprovdkijakarta #minumanalkohol
https://t.co/V3JV0OcG8M";"1593530280585101317"
2022-11-18;"RT @ARSIPAJA: Kepresisian yang sangat presisi @TMCPoldaMetro @DivHumas_Polri https://t.co/eIWou1ok5h";"1593528702276898816"
2022-11-18;"RT @TMCPoldaMetro: 14.54 Polri Sat PJR Dit Lantas PMJ pengamanan & pengaturan Kecelakaan Lalu Lintas sebuah truk terguling di Tol Sedyatmo…";"1593523110078054400"
2022-11-18;"RT @RadioElshinta: 15.18: RT @TMCPoldaMetro: Polri Sat PJR Dit Lantas PMJ pengamanan & pengaturan Kecelakaan Lalu Lintas sebuah truk tergul…";"1593523080915169283"
2022-11-18;"RT @TMCPoldaMetro: 15.25 #Polri Subdit Regident Dit Lantas PMJ kegiatan JUMAT BAROKAH pembagian nasi kotak kepada masyarakat di sekitar Sta…";"1593522256784764928"
2022-11-18;"RT @TMCPoldaMetro: 15.25 #Polri Subdit Regident Dit Lantas PMJ kegiatan JUMAT BAROKAH pembagian nasi kotak kepada masyarakat di sekitar Sta…";"1593521711940767746"
2022-11-18;"15.25 #Polri Subdit Regident Dit Lantas PMJ kegiatan JUMAT BAROKAH pembagian nasi kotak kepada masyarakat di sekitar Stasiun Pal Merah Jakbar & sepanjang Jl. Senayan https://t.co/mgL00ByeS2";"1593521290069291008"
2022-11-18;"Dalam rangka Memaksimalkan Pelayanan kepada Masyarakat, 
SAMSAT DKI Jakarta dibuka hari Sabtu
Jam 08.00 s.d 12.00 WIB

sumber: @TMCPoldaMetro https://t.co/useWO4mZ6p";"1593520402466107394"
2022-11-18;"15.18: RT @TMCPoldaMetro: Polri Sat PJR Dit Lantas PMJ pengamanan & pengaturan Kecelakaan Lalu Lintas sebuah truk terguling di Tol Sedyatmo KM 29 arah Jakarta, saat ini sedang proses penaganan Polri. Lalu lintas jelang lokasi padat. #PantauElshinta https://t.co/A5ofqjeUg2";"1593518894207369218"
2022-11-18;"@ARSIPAJA @TMCPoldaMetro @DivHumas_Polri Maaf nih, Emang kebanyakan mrk suka sombong... udh ngambil jalur orang...di klakson. galakan dia.... Apa karena sepedanya mahal2 yaa jd pd sombong gitu ???";"1593517406319935489"
2022-11-18;"RT @TMCPoldaMetro: 14.54 Polri Sat PJR Dit Lantas PMJ pengamanan & pengaturan Kecelakaan Lalu Lintas sebuah truk terguling di Tol Sedyatmo…";"1593516511628443648"
